id,cluster,center_distance
274988,5,0.87487954
347252,4,0.9604186
47037,4,0.90986025
130815,2,0.8429194
251021,0,0.9232119
25538,3,0.84642684
276594,4,0.9160758
54837,4,0.995171
32378,4,0.97760415
259784,2,0.904942
16391,2,0.95810145
196264,1,0.8849136
251032,2,0.9863763
429524,0,0.631185
146,2,0.93074006
315537,4,0.9789451
487173,4,0.98069096
341118,5,0.88995683
77206,5,0.89725965
157487,4,0.97313404
289671,0,0.6589392
356884,2,0.7796334
168590,4,0.97363997
44050,2,0.95277303
166328,4,0.9501939
242,2,0.7824829
124853,4,1.020193
160077,2,0.8967637
161843,2,0.8782748
447429,4,0.9197948
202009,2,0.9976012
372665,2,0.9936556
55681,5,0.8798653
230240,4,0.9973045
137701,1,0.8528949
467795,4,0.974555
289133,4,0.9292963
28951,0,0.675935
513531,1,0.93093485
511799,5,0.8617629
292568,2,0.88496614
435497,5,0.9025399
392158,4,0.9562625
167554,1,0.8813832
505132,0,0.8974339
399278,5,0.9563763
535020,4,0.9790917
165110,4,0.9703079
27200,4,0.9524203
262576,2,0.93748343
357497,2,0.814868
201697,4,1.0106114
363009,4,0.99732685
113150,4,0.8909798
81635,4,0.9549384
279052,4,0.9667278
240622,4,0.99713415
142984,4,0.9683078
299989,4,0.91992974
165385,0,0.9295211
285606,0,0.82221794
204270,4,0.9629615
117116,2,0.9466033
138275,5,0.8573135
168644,2,0.9461384
20085,4,0.9348816
243157,1,0.87705183
160170,4,0.96226346
441744,4,0.9311901
271113,3,0.81472874
16327,4,0.94478756
182122,3,0.84961855
369169,3,0.8160141
331715,4,0.9153878
249050,5,0.78424364
151746,2,0.91423064
297594,1,0.8257076
63346,2,0.81545126
519068,4,0.97993284
263831,3,0.8840264
419921,2,0.8348253
368320,2,0.8344284
392150,4,0.94329596
342619,0,0.652659
408907,4,0.92033094
371961,2,0.7871771
188151,5,0.66716135
383120,4,0.96740067
248125,2,0.9539683
128715,4,0.9708257
495344,4,0.99997604
300339,4,0.979934
460846,2,0.9116218
367987,1,0.92883724
280918,4,0.9779173
243409,4,0.9343209
243249,4,0.96084374
173113,4,1.000072
463219,4,0.9259779
360086,2,0.9250789
457965,2,0.96272755
72449,4,0.9291338
193430,4,0.9219836
39172,2,0.859859
303070,3,0.77609676
216068,4,0.939018
384510,5,0.83427
367865,5,0.8973772
391390,4,0.9326391
141937,4,0.9539436
53197,4,0.9961091
400273,0,0.99702543
535431,2,0.90468484
480776,2,0.9201366
305431,4,0.9325179
443640,2,0.83139473
406331,2,0.9471439
441118,2,0.9801414
142369,2,0.86494577
145858,2,0.8775402
173730,4,0.95392054
170199,4,0.96304524
239866,3,0.82160836
46189,4,0.91562843
314384,4,1.0148597
136231,0,0.97976494
174536,4,1.0099156
341816,5,0.8133392
59515,2,0.95924073
320708,4,0.9530874
211091,3,0.8421574
286851,4,0.92715436
248212,0,0.885948
280644,2,0.98620325
176883,3,0.8532434
