id,rating_mean,rating_count,bayesian_rating
40,4.333333333333333,9,4.371011758761327
46,5.0,2,4.770282336593649
52,5.0,1,4.693709782124865
59,5.0,4,4.846854891062432
62,4.681818181818182,22,4.670047056098942
63,5.0,4,4.846854891062432
66,4.947368421052632,19,4.9086252069702185
81,5.0,2,4.770282336593649
84,5.0,4,4.846854891062432
92,4.8,5,4.7258756209106565
93,4.625,8,4.608112934637459
94,5.0,4,4.846854891062432
110,3.6666666666666665,3,4.016225869274919
113,3.0,1,4.027043115458198
115,5.0,1,4.693709782124865
119,4.0,2,4.270282336593649
124,5.0,1,4.693709782124865
126,5.0,1,4.693709782124865
128,5.0,2,4.770282336593649
131,4.2,5,4.297304192339228
135,5.0,4,4.846854891062432
136,4.6,5,4.583018478053513
144,3.0,1,4.027043115458198
147,5.0,1,4.693709782124865
149,5.0,1,4.693709782124865
154,2.5,2,3.5202823365936484
156,3.0,2,3.7702823365936484
165,5.0,2,4.770282336593649
167,4.578947368421052,19,4.575291873636885
176,5.0,1,4.693709782124865
181,2.6666666666666665,3,3.416225869274919
183,5.0,1,4.693709782124865
191,5.0,7,4.897903260708288
198,4.6521739130434785,46,4.64752352804947
199,5.0,3,4.816225869274919
205,5.0,1,4.693709782124865
206,5.0,1,4.693709782124865
207,5.0,1,4.693709782124865
210,5.0,8,4.90811293463746
212,5.0,1,4.693709782124865
213,4.0,1,4.3603764487915315
216,5.0,1,4.693709782124865
224,4.285714285714286,7,4.342347705152733
229,4.333333333333333,6,4.385141168296824
232,4.428571428571429,21,4.438309971581504
236,5.0,3,4.816225869274919
238,5.0,3,4.816225869274919
240,4.5,8,4.5081129346374595
242,4.714285714285714,14,4.692570584148412
243,4.666666666666667,3,4.616225869274919
245,4.5,2,4.520282336593649
246,4.615384615384615,65,4.613151184274248
247,5.0,1,4.693709782124865
249,4.285714285714286,7,4.342347705152733
261,4.666666666666667,15,4.651831138022035
272,4.666666666666667,3,4.616225869274919
273,5.0,2,4.770282336593649
275,5.0,1,4.693709782124865
280,4.0,23,4.0432451738549835
281,5.0,3,4.816225869274919
282,5.0,2,4.770282336593649
283,5.0,2,4.770282336593649
284,5.0,1,4.693709782124865
288,4.0,2,4.270282336593649
291,4.0,1,4.3603764487915315
293,4.0,1,4.3603764487915315
295,5.0,1,4.693709782124865
297,5.0,3,4.816225869274919
298,4.333333333333333,3,4.4162258692749194
311,5.0,1,4.693709782124865
314,4.833333333333333,12,4.791509239026757
318,4.75,4,4.680188224395766
324,4.666666666666667,12,4.648652096169614
327,4.75,8,4.70811293463746
342,5.0,4,4.846854891062432
346,4.586206896551724,29,4.5832622369798255
350,3.0,4,3.5135215577290992
352,5.0,4,4.846854891062432
355,4.625,8,4.608112934637459
358,1.0,1,3.360376448791531
361,3.625,8,3.8081129346374594
363,4.5,2,4.520282336593649
365,5.0,1,4.693709782124865
