recipe_id,row_index
137739,0
31490,1
59389,2
25274,3
109439,4
39959,5
43026,6
23933,7
76808,8
24701,9
83873,10
107699,11
49262,12
48156,13
54272,14
37073,15
59952,16
93249,17
54100,18
67664,19
87098,20
25775,21
33165,22
38798,23
22123,24
90921,25
93959,26
93958,27
58224,28
33606,29
94710,30
35173,31
52804,32
108414,33
22526,34
100870,35
84797,36
35653,37
32169,38
44045,39
60219,40
81185,41
30131,42
30300,43
78655,44
74805,45
32271,46
107229,47
5060,48
42570,49
52443,50
35595,51
35964,52
71457,53
95926,54
112959,55
98930,56
39947,57
44895,58
111875,59
42522,60
34930,61
63793,62
61973,63
45859,64
58651,65
59534,66
40237,67
105069,68
70099,69
333281,70
234069,71
37841,72
453467,73
31835,74
306168,75
24514,76
116679,77
124286,78
177187,79
118843,80
208179,81
500166,82
503475,83
522861,84
457136,85
455351,86
306245,87
523359,88
495314,89
149593,90
100540,91
29214,92
209203,93
42151,94
327356,95
325509,96
236184,97
241445,98
70611,99
273326,100
318677,101
268942,102
176110,103
205331,104
474769,105
138005,106
216945,107
164526,108
50184,109
316470,110
343338,111
30473,112
311991,113
242830,114
336744,115
83542,116
303457,117
176717,118
39226,119
216030,120
98357,121
150365,122
243251,123
20186,124
109818,125
207525,126
353044,127
263781,128
66932,129
32363,130
235173,131
226001,132
220186,133
217201,134
194665,135
269909,136
259693,137
152261,138
152259,139
303460,140
270259,141
125195,142
212188,143
262208,144
207857,145
221049,146
221116,147
130819,148
190108,149
158372,150
219681,151
261215,152
179640,153
140855,154
130492,155
293836,156
101115,157
343448,158
39893,159
147477,160
223349,161
86768,162
197001,163
60938,164
228491,165
354039,166
302399,167
221544,168
175306,169
211833,170
9999,171
423875,172
275675,173
296983,174
111462,175
151143,176
166089,177
310082,178
116741,179
143750,180
257409,181
154426,182
347252,183
47037,184
130815,185
251021,186
25538,187
276594,188
32378,189
16391,190
196264,191
251032,192
429524,193
315537,194
487173,195
341118,196
77206,197
289671,198
356884,199
168590,200
44050,201
166328,202
242,203
161843,204
447429,205
202009,206
372665,207
55681,208
137701,209
289133,210
28951,211
513531,212
511799,213
292568,214
435497,215
392158,216
167554,217
505132,218
399278,219
535020,220
165110,221
262576,222
201697,223
363009,224
113150,225
81635,226
240622,227
299989,228
165385,229
285606,230
204270,231
117116,232
138275,233
168644,234
20085,235
160170,236
441744,237
271113,238
16327,239
182122,240
369169,241
331715,242
249050,243
297594,244
519068,245
263831,246
419921,247
368320,248
392150,249
342619,250
408907,251
371961,252
188151,253
383120,254
128715,255
495344,256
300339,257
460846,258
367987,259
280918,260
243409,261
243249,262
173113,263
463219,264
360086,265
457965,266
72449,267
39172,268
303070,269
384510,270
367865,271
391390,272
53197,273
400273,274
480776,275
443640,276
406331,277
441118,278
142369,279
170199,280
46189,281
314384,282
136231,283
174536,284
320708,285
211091,286
286851,287
248212,288
280644,289
176883,290
298908,291
102035,292
328250,293
138477,294
287778,295
204122,296
123115,297
248962,298
384264,299
199545,300
427531,301
389642,302
287235,303
110085,304
371549,305
444320,306
284465,307
376813,308
51506,309
134015,310
202195,311
407516,312
92113,313
354047,314
134085,315
401605,316
356849,317
393988,318
192390,319
446452,320
454621,321
440388,322
246224,323
484992,324
276865,325
172744,326
147212,327
361927,328
298874,329
140196,330
196006,331
409229,332
296051,333
306590,334
433071,335
218648,336
256734,337
212028,338
408303,339
25512,340
363904,341
481157,342
18719,343
335539,344
303944,345
407098,346
285568,347
207743,348
130642,349
335495,350
192542,351
315110,352
368878,353
147563,354
251976,355
334501,356
181808,357
291073,358
186143,359
250232,360
382731,361
134787,362
154576,363
222030,364
52565,365
358626,366
53152,367
211322,368
251714,369
343821,370
168420,371
402351,372
319381,373
389301,374
29916,375
36482,376
65207,377
496766,378
56036,379
327141,380
342698,381
304814,382
387488,383
240369,384
334951,385
305987,386
337893,387
35632,388
205443,389
201813,390
279176,391
532472,392
32204,393
378540,394
293049,395
96727,396
474258,397
209322,398
240447,399
280251,400
242761,401
22711,402
98821,403
152534,404
423516,405
481195,406
51922,407
11363,408
63131,409
108819,410
344420,411
292317,412
79313,413
19953,414
16451,415
116449,416
24760,417
261888,418
238453,419
67142,420
97968,421
413910,422
154187,423
327979,424
196319,425
184785,426
344648,427
247277,428
190891,429
449891,430
32088,431
286681,432
361328,433
376660,434
375362,435
196548,436
55809,437
198660,438
121107,439
420409,440
106902,441
246617,442
221942,443
21816,444
198073,445
169105,446
15063,447
202949,448
497150,449
392350,450
184214,451
99065,452
325657,453
49737,454
15202,455
15211,456
187601,457
218687,458
127048,459
26420,460
142215,461
426696,462
157808,463
229979,464
128840,465
87289,466
432965,467
266021,468
147286,469
407471,470
367828,471
367823,472
349331,473
429248,474
483908,475
187210,476
218967,477
140610,478
79736,479
230686,480
470837,481
483029,482
422277,483
468143,484
344503,485
362654,486
157657,487
468652,488
251800,489
423369,490
374703,491
370567,492
100837,493
365158,494
146093,495
269443,496
286484,497
323492,498
283618,499
391705,500
176996,501
249911,502
255928,503
236346,504
190411,505
316221,506
290187,507
112386,508
11361,509
248676,510
359972,511
427872,512
357474,513
29935,514
459738,515
458729,516
447710,517
374271,518
187843,519
78123,520
420931,521
111198,522
276330,523
56719,524
164636,525
58321,526
100864,527
146767,528
102895,529
33246,530
14881,531
493178,532
302498,533
13805,534
378067,535
164100,536
266081,537
206648,538
207897,539
320454,540
377326,541
216873,542
111072,543
165438,544
80411,545
247646,546
256535,547
267159,548
401283,549
165274,550
211938,551
217180,552
47924,553
418500,554
137296,555
428566,556
533190,557
291956,558
172373,559
12983,560
240165,561
344373,562
478546,563
168663,564
433667,565
351229,566
169849,567
459089,568
244971,569
39169,570
248672,571
88740,572
